context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
jc4,SMAPE,Future Absence,0.5045434902847686,RNN,2,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5148828759055392,RNN,3,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5132663917794623,RNN,4,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5111557422852334,RNN,5,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5133665049734171,RNN,6,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.517971775619476,RNN,7,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5161923252387036,RNN,8,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5184401394243974,RNN,9,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5185338553304553,RNN,10,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5164902510006303,RNN,11,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.517207470407328,RNN,12,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5153928317664488,RNN,13,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5174942078883831,RNN,14,39941.44608211517,640621,62,6
jc4,SMAPE,Future Absence,0.5185760119718937,RNN,15,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.14271703771747576,RNN,2,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.14133207176594026,RNN,3,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.14449738713906893,RNN,4,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.14470259881876857,RNN,5,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.14959655726410473,RNN,6,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.14994954731119084,RNN,7,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.15335364423416475,RNN,8,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.15546109237525849,RNN,9,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.15685330220280963,RNN,10,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.1566036028978902,RNN,11,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.15795957125596216,RNN,12,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.1610161039149023,RNN,13,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.15965547353909706,RNN,14,39941.44608211517,640621,62,6
jc4,SMAPE,Future Active Time,0.16039402985822326,RNN,15,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.3978679017195642,RNN,2,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.40177396054845355,RNN,3,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.4057076262687207,RNN,4,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.40254587688320576,RNN,5,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.406229588671555,RNN,6,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.405641423915504,RNN,7,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.40738804090686587,RNN,8,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.4080438781847339,RNN,9,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.4071373065619585,RNN,10,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.4089993215246054,RNN,11,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.4094129809982648,RNN,12,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.40890152823236564,RNN,13,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.40840630587314664,RNN,14,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Time,0.4082310077140451,RNN,15,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.39817561043990335,RNN,2,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4174132062799535,RNN,3,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4164889650459777,RNN,4,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.41523190274847716,RNN,5,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4169294988452193,RNN,6,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4135180226140362,RNN,7,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4147557985576012,RNN,8,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4165044134159537,RNN,9,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.41700647993202267,RNN,10,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4165230219353401,RNN,11,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.42195950936679977,RNN,12,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4221079739101593,RNN,13,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.4243275189070211,RNN,14,39941.44608211517,640621,62,6
jc4,SMAPE,Future Session Activity,0.42884737917533167,RNN,15,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.5969268300078154,RNN,2,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.4543921286945051,RNN,3,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.4071990668309424,RNN,4,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.3870444573718804,RNN,5,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.3775672068169226,RNN,6,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.37239530015251515,RNN,7,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.3766201338844445,RNN,8,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.3827473215643383,RNN,9,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.37544719720713815,RNN,10,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.3807273065778793,RNN,11,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.38162445335327677,RNN,12,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.3855466700671637,RNN,13,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.3992075961000615,RNN,14,39941.44608211517,640621,62,6
jc4,SMAPE,Future N° Sessions,0.39709348572012265,RNN,15,39941.44608211517,640621,62,6
lis,SMAPE,Future Absence,0.5727896621768186,RNN,2,39941.44608211517,640621,62,6
lis,SMAPE,Future Absence,0.5711811276079823,RNN,3,39941.44608211517,640621,62,6
lis,SMAPE,Future Absence,0.5724113494090395,RNN,4,39941.44608211517,640621,62,6
lis,SMAPE,Future Absence,0.5633322990098,RNN,5,39941.44608211517,640621,62,6
lis,SMAPE,Future Absence,0.5649453793264678,RNN,6,39941.44608211517,640621,62,6
lis,SMAPE,Future Absence,0.5638537126417548,RNN,7,39941.44608211517,640621,62,6
lis,SMAPE,Future Absence,0.568421624914626,RNN,8,39941.44608211517,640621,62,6
