,context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n,time_epochs
0,jc4,SMAPE,Future Absence,50.4134187377285,RNN,2,25721.35073924065,640621,48,0,535.8614737341802
1,jc4,SMAPE,Future Absence,51.340793910365754,RNN,3,25721.35073924065,640621,48,0,535.8614737341802
2,jc4,SMAPE,Future Absence,51.59744056333041,RNN,4,25721.35073924065,640621,48,0,535.8614737341802
3,jc4,SMAPE,Future Absence,51.466589675364446,RNN,5,25721.35073924065,640621,48,0,535.8614737341802
4,jc4,SMAPE,Future Absence,51.9532021434796,RNN,6,25721.35073924065,640621,48,0,535.8614737341802
5,jc4,SMAPE,Future Absence,52.0199146407045,RNN,7,25721.35073924065,640621,48,0,535.8614737341802
6,jc4,SMAPE,Future Absence,51.99539235415911,RNN,8,25721.35073924065,640621,48,0,535.8614737341802
7,jc4,SMAPE,Future Absence,51.57372508629242,RNN,9,25721.35073924065,640621,48,0,535.8614737341802
8,jc4,SMAPE,Future Absence,51.792787262508966,RNN,10,25721.35073924065,640621,48,0,535.8614737341802
9,jc4,SMAPE,Future Absence,51.711907242840574,RNN,11,25721.35073924065,640621,48,0,535.8614737341802
10,jc4,SMAPE,Future Absence,51.78144620979316,RNN,12,25721.35073924065,640621,48,0,535.8614737341802
11,jc4,SMAPE,Future Absence,51.65773413472121,RNN,13,25721.35073924065,640621,48,0,535.8614737341802
12,jc4,SMAPE,Future Absence,51.33362504732085,RNN,14,25721.35073924065,640621,48,0,535.8614737341802
13,jc4,SMAPE,Future Absence,51.880741414642074,RNN,15,25721.35073924065,640621,48,0,535.8614737341802
14,jc4,SMAPE,Future Active Time,14.398975528581412,RNN,2,25721.35073924065,640621,48,0,535.8614737341802
15,jc4,SMAPE,Future Active Time,14.5989549437244,RNN,3,25721.35073924065,640621,48,0,535.8614737341802
16,jc4,SMAPE,Future Active Time,14.607689786782924,RNN,4,25721.35073924065,640621,48,0,535.8614737341802
17,jc4,SMAPE,Future Active Time,14.759862916187775,RNN,5,25721.35073924065,640621,48,0,535.8614737341802
18,jc4,SMAPE,Future Active Time,14.973110775011357,RNN,6,25721.35073924065,640621,48,0,535.8614737341802
19,jc4,SMAPE,Future Active Time,14.926493614095806,RNN,7,25721.35073924065,640621,48,0,535.8614737341802
20,jc4,SMAPE,Future Active Time,15.27871829220985,RNN,8,25721.35073924065,640621,48,0,535.8614737341802
21,jc4,SMAPE,Future Active Time,15.448091597897934,RNN,9,25721.35073924065,640621,48,0,535.8614737341802
22,jc4,SMAPE,Future Active Time,15.441842540083686,RNN,10,25721.35073924065,640621,48,0,535.8614737341802
23,jc4,SMAPE,Future Active Time,15.698328980530926,RNN,11,25721.35073924065,640621,48,0,535.8614737341802
24,jc4,SMAPE,Future Active Time,16.16075502150773,RNN,12,25721.35073924065,640621,48,0,535.8614737341802
25,jc4,SMAPE,Future Active Time,15.936812243906626,RNN,13,25721.35073924065,640621,48,0,535.8614737341802
26,jc4,SMAPE,Future Active Time,15.862398154010245,RNN,14,25721.35073924065,640621,48,0,535.8614737341802
27,jc4,SMAPE,Future Active Time,16.329053700949114,RNN,15,25721.35073924065,640621,48,0,535.8614737341802
28,jc4,SMAPE,Future Session Time,40.50304498481509,RNN,2,25721.35073924065,640621,48,0,535.8614737341802
29,jc4,SMAPE,Future Session Time,40.50199773294687,RNN,3,25721.35073924065,640621,48,0,535.8614737341802
30,jc4,SMAPE,Future Session Time,40.57864642827619,RNN,4,25721.35073924065,640621,48,0,535.8614737341802
31,jc4,SMAPE,Future Session Time,40.42005027882301,RNN,5,25721.35073924065,640621,48,0,535.8614737341802
32,jc4,SMAPE,Future Session Time,40.70558111007021,RNN,6,25721.35073924065,640621,48,0,535.8614737341802
33,jc4,SMAPE,Future Session Time,40.55795501518514,RNN,7,25721.35073924065,640621,48,0,535.8614737341802
34,jc4,SMAPE,Future Session Time,40.77285168618002,RNN,8,25721.35073924065,640621,48,0,535.8614737341802
35,jc4,SMAPE,Future Session Time,40.96243315800158,RNN,9,25721.35073924065,640621,48,0,535.8614737341802
36,jc4,SMAPE,Future Session Time,40.88306984300533,RNN,10,25721.35073924065,640621,48,0,535.8614737341802
37,jc4,SMAPE,Future Session Time,40.977642709426085,RNN,11,25721.35073924065,640621,48,0,535.8614737341802
38,jc4,SMAPE,Future Session Time,40.925740138162546,RNN,12,25721.35073924065,640621,48,0,535.8614737341802
39,jc4,SMAPE,Future Session Time,40.64078864521461,RNN,13,25721.35073924065,640621,48,0,535.8614737341802
40,jc4,SMAPE,Future Session Time,40.710801543318446,RNN,14,25721.35073924065,640621,48,0,535.8614737341802
41,jc4,SMAPE,Future Session Time,41.09458537258802,RNN,15,25721.35073924065,640621,48,0,535.8614737341802
42,jc4,SMAPE,Future Session Activity,40.03680421256839,RNN,2,25721.35073924065,640621,48,0,535.8614737341802
43,jc4,SMAPE,Future Session Activity,42.26584490480235,RNN,3,25721.35073924065,640621,48,0,535.8614737341802
44,jc4,SMAPE,Future Session Activity,42.63861169410931,RNN,4,25721.35073924065,640621,48,0,535.8614737341802
45,jc4,SMAPE,Future Session Activity,42.698427547313436,RNN,5,25721.35073924065,640621,48,0,535.8614737341802
46,jc4,SMAPE,Future Session Activity,42.53586213229949,RNN,6,25721.35073924065,640621,48,0,535.8614737341802
47,jc4,SMAPE,Future Session Activity,42.519148882965204,RNN,7,25721.35073924065,640621,48,0,535.8614737341802
48,jc4,SMAPE,Future Session Activity,42.6615301232904,RNN,8,25721.35073924065,640621,48,0,535.8614737341802
49,jc4,SMAPE,Future Session Activity,42.702709905212075,RNN,9,25721.35073924065,640621,48,0,535.8614737341802
50,jc4,SMAPE,Future Session Activity,42.75295291807141,RNN,10,25721.35073924065,640621,48,0,535.8614737341802
51,jc4,SMAPE,Future Session Activity,42.78656802001661,RNN,11,25721.35073924065,640621,48,0,535.8614737341802
52,jc4,SMAPE,Future Session Activity,43.642799404847246,RNN,12,25721.35073924065,640621,48,0,535.8614737341802
53,jc4,SMAPE,Future Session Activity,43.481931664218706,RNN,13,25721.35073924065,640621,48,0,535.8614737341802
54,jc4,SMAPE,Future Session Activity,43.576593364504184,RNN,14,25721.35073924065,640621,48,0,535.8614737341802
55,jc4,SMAPE,Future Session Activity,43.86923077630618,RNN,15,25721.35073924065,640621,48,0,535.8614737341802
56,jc4,SMAPE,Future N° Sessions,59.96964174683951,RNN,2,25721.35073924065,640621,48,0,535.8614737341802
57,jc4,SMAPE,Future N° Sessions,45.70381188354831,RNN,3,25721.35073924065,640621,48,0,535.8614737341802
58,jc4,SMAPE,Future N° Sessions,41.16059581805873,RNN,4,25721.35073924065,640621,48,0,535.8614737341802
59,jc4,SMAPE,Future N° Sessions,39.54167784406067,RNN,5,25721.35073924065,640621,48,0,535.8614737341802
60,jc4,SMAPE,Future N° Sessions,37.96285662250144,RNN,6,25721.35073924065,640621,48,0,535.8614737341802
61,jc4,SMAPE,Future N° Sessions,37.97191436975536,RNN,7,25721.35073924065,640621,48,0,535.8614737341802
62,jc4,SMAPE,Future N° Sessions,37.70976909551721,RNN,8,25721.35073924065,640621,48,0,535.8614737341802
63,jc4,SMAPE,Future N° Sessions,37.99033467640206,RNN,9,25721.35073924065,640621,48,0,535.8614737341802
64,jc4,SMAPE,Future N° Sessions,38.37978903989324,RNN,10,25721.35073924065,640621,48,0,535.8614737341802
65,jc4,SMAPE,Future N° Sessions,38.20661614376171,RNN,11,25721.35073924065,640621,48,0,535.8614737341802
66,jc4,SMAPE,Future N° Sessions,38.61435684387171,RNN,12,25721.35073924065,640621,48,0,535.8614737341802
67,jc4,SMAPE,Future N° Sessions,38.66926810525654,RNN,13,25721.35073924065,640621,48,0,535.8614737341802
68,jc4,SMAPE,Future N° Sessions,38.14258660373081,RNN,14,25721.35073924065,640621,48,0,535.8614737341802
69,jc4,SMAPE,Future N° Sessions,39.81071124115779,RNN,15,25721.35073924065,640621,48,0,535.8614737341802
70,lis,SMAPE,Future Absence,57.357285460023355,RNN,2,25721.35073924065,640621,48,0,535.8614737341802
71,lis,SMAPE,Future Absence,57.40374227205617,RNN,3,25721.35073924065,640621,48,0,535.8614737341802
72,lis,SMAPE,Future Absence,57.12550188337215,RNN,4,25721.35073924065,640621,48,0,535.8614737341802
73,lis,SMAPE,Future Absence,56.869293135472134,RNN,5,25721.35073924065,640621,48,0,535.8614737341802
74,lis,SMAPE,Future Absence,56.29573160328981,RNN,6,25721.35073924065,640621,48,0,535.8614737341802
75,lis,SMAPE,Future Absence,56.25008453637823,RNN,7,25721.35073924065,640621,48,0,535.8614737341802
76,lis,SMAPE,Future Absence,56.668495326339716,RNN,8,25721.35073924065,640621,48,0,535.8614737341802
77,lis,SMAPE,Future Absence,57.34598005106808,RNN,9,25721.35073924065,640621,48,0,535.8614737341802
78,lis,SMAPE,Future Absence,57.66289025805169,RNN,10,25721.35073924065,640621,48,0,535.8614737341802
