context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n
jc4,SMAPE,Future Absence,0.5067379278177027,RNN,2,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5176661583137866,RNN,3,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5111997495550779,RNN,4,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5122687281495546,RNN,5,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.519464685549338,RNN,6,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5166918369390031,RNN,7,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5156458352868067,RNN,8,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5173825129156598,RNN,9,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5171813013862715,RNN,10,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5175793783459003,RNN,11,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5214528825603039,RNN,12,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5199943569353197,RNN,13,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5157571217209278,RNN,14,39394.12501716614,640621,42,7
jc4,SMAPE,Future Absence,0.5166668623820382,RNN,15,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.1428820597037405,RNN,2,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.14353926619625476,RNN,3,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.1460388743367983,RNN,4,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.1462618604078563,RNN,5,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.15016238632967674,RNN,6,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.1511474327052407,RNN,7,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.15324650368736092,RNN,8,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.1552692900480825,RNN,9,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.1535802273955196,RNN,10,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.1568204809553418,RNN,11,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.15899710631531921,RNN,12,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.16236858290134423,RNN,13,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.15759010724903513,RNN,14,39394.12501716614,640621,42,7
jc4,SMAPE,Future Active Time,0.16124832369578262,RNN,15,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.406266127953184,RNN,2,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.4083770124264079,RNN,3,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.4045957622627458,RNN,4,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.404893842129273,RNN,5,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.4072420319148455,RNN,6,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.4065192217293449,RNN,7,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.4064991378938349,RNN,8,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.4072854603968732,RNN,9,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.40469528155654805,RNN,10,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.40898188737889646,RNN,11,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.4098868907722376,RNN,12,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.40593883110249646,RNN,13,39394.12501716614,640621,42,7
jc4,SMAPE,Future Session Time,0.40859290453278196,RNN,14,39394.12501716614,640621,42,7
